requirement_id,agents_section,normative_text,owner_gate,verification_id,status,evidence
REQ-JOURNAL-001,AGENTS 3;12,"Journal records are checksummed, sealed, recoverable, and authoritative for execution state.",G01,verify-journal-tests,verified,crates/journal/src/lib.rs
REQ-IPC-001,AGENTS 3;18,"Commands are bounded, capability-authorized, versioned, and idempotent.",G08,verify-ipc-dispatcher,verified,crates/ipc/src/lib.rs
REQ-OPS-RELEASE-RUNBOOK-001,PLAN G15;AGENTS 51,"Release certification procedure defines RC hashing, seven-day soak, disaster drills, broker reconciliation, canary approvals, and immutable evidence manifest.",G15,verify-release-certification-runbook,verified,docs/runbooks/release-certification.md
REQ-TERMINAL-NATIVE-001,AGENTS 18;51,"Native Rust terminal builds without a browser, WebView, Node, npm, or Tauri dependency.",G09,verify-terminal-native,implemented,crates/terminal/Cargo.toml
REQ-CFG-TERMINAL-RELOAD-001,AGENTS 21,"Terminal configuration reload streams a bounded file and uses the engine compare-and-swap command.",G09,verify-terminal-config-reload,implemented,crates/terminal/src/app.rs
REQ-MARKET-001,AGENTS 3;6,"Market stream gaps stop downstream state until explicit snapshot recovery.",G02,verify-market-recovery,verified,crates/market-data/src/lib.rs
REQ-RISK-001,AGENTS 3;25,"Risk rejects stale or unhealthy inputs before execution and fails closed.",G06,verify-risk-guardrails,verified,crates/risk-engine/src/lib.rs
REQ-LLM-001,AGENTS 11,"LLM output is provider-neutral, bounded, trace-bound, and schema-validated before action.",G11,verify-llm-provider,verified,crates/llm-core/src/lib.rs
REQ-GRAPH-001,AGENTS 16;17,"Graph facts retain temporal provenance and retrieval enforces embedding model compatibility.",G12,verify-graph-retrieval,verified,crates/context-graph/src/lib.rs
REQ-AUTONOMY-001,AGENTS 9;10,"Autonomous approval is policy-bound and revalidated against unchanged critical context.",G13,verify-autonomy-policy,verified,crates/autonomy/src/lib.rs
REQ-TERMINAL-ORDER-001,AGENTS 18;19;21,"Manual order submission requires preview, warnings, explicit confirmation, and idempotency.",G09,verify-terminal-order,implemented,crates/terminal/src/app.rs
REQ-TERMINAL-REFRESH-001,AGENTS 43,"Operational terminal refresh cadence is bounded and does not overlap in-flight diagnostic requests.",G09,verify-terminal-refresh,implemented,crates/terminal/src/app.rs
REQ-ALERT-001,AGENTS 46;49,"Alert routing is bounded, HTTPS-only, credential-safe, and acknowledges in-app and external channels independently.",G14,verify-alert-router,verified,crates/alerts/src/lib.rs
REQ-PROVIDER-URL-001,AGENTS 49,"Provider and article URLs are bounded, authority-present, HTTPS/localhost constrained, and contain no credentials.",G11,verify-provider-url-boundary,verified,crates/desktop-bridge/src/main.rs
REQ-YAHOO-CONFIG-001,AGENTS 30;59,"Yahoo multi-symbol subscriptions are file-first, bounded to 128 entries, and use environment fallback only when CFG is absent.",G02,verify-yahoo-config,verified,crates/desktop-bridge/src/main.rs
REQ-NEWSAPI-FILTER-CONFIG-001,AGENTS 30;59,"NewsAPI top-headlines filters are typed file-first settings with environment fallback.",G10,verify-newsapi-filter-config,verified,crates/desktop-bridge/src/main.rs
REQ-NEWS-URL-001,AGENTS 49,"NewsAPI, Yahoo News, and RSS provider base URLs require bounded HTTPS URLs with non-empty authorities and no credentials.",G10,verify-news-provider-url,verified,crates/news-providers/src/lib.rs
REQ-MARKET-URL-001,AGENTS 49,"Market HTTP and Yahoo chart/quote provider URLs require bounded HTTPS URLs with non-empty authorities and no credentials.",G02,verify-market-provider-url,verified,crates/market-providers/src/lib.rs
REQ-PROVIDER-ID-001,AGENTS 30;58,"Provider identity strings are non-empty and bounded to 64 bytes before registry indexing.",G00,verify-provider-id-boundary,verified,crates/provider-core/src/lib.rs
REQ-NEWS-ITEM-URL-001,AGENTS 49,"Canonical NewsItem URLs reject credential-bearing authorities at storage validation.",G10,verify-news-item-url-boundary,verified,crates/news-core/src/lib.rs
REQ-WEBHOOK-STARTUP-001,AGENTS 49,"Merged CFG/environment webhook settings are validated before engine startup and delivery.",G08,verify-webhook-startup-boundary,verified,crates/desktop-bridge/src/main.rs
